lat,lon,neighborhood,num_streets,num_pois_nearby,risk_score,poi_density,street_importance,degree_normalized,weight,category,color,weight_breakdown
43.650008,-79.387057,Yonge-Bay Corridor,4,30,1.0,0.6,0.1,0.5,64.0,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 12.0, 'street_contribution': 2.0, 'degree_contribution': 10.0}"
43.650602,-79.387323,Yonge-Bay Corridor,3,36,1.0,0.72,0.1,0.375,63.9,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 14.4, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.648037,-79.386451,Wellington Place,3,31,0.339,0.62,0.1,0.375,35.45,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 12.4, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.647958,-79.386417,Wellington Place,3,32,0.339,0.64,0.1,0.375,35.85,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 12.8, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.64799,-79.386227,Yonge-Bay Corridor,3,37,1.0,0.74,0.1,0.375,64.3,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 14.8, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.647492,-79.386027,Yonge-Bay Corridor,4,32,1.0,0.64,0.1,0.5,64.8,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 12.8, 'street_contribution': 2.0, 'degree_contribution': 10.0}"
43.649845,-79.386989,Yonge-Bay Corridor,4,29,1.0,0.58,0.1,0.5,63.6,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 11.6, 'street_contribution': 2.0, 'degree_contribution': 10.0}"
43.648739,-79.386531,Yonge-Bay Corridor,4,21,1.0,0.42,0.1,0.5,60.4,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 8.4, 'street_contribution': 2.0, 'degree_contribution': 10.0}"
43.647598,-79.388491,Wellington Place,3,35,0.339,0.7,0.1,0.375,37.05,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 14.0, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.648115,-79.388693,Wellington Place,3,30,0.339,0.6,0.1,0.375,35.05,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 12.0, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.648148,-79.388545,Wellington Place,3,32,0.339,0.64,0.1,0.375,35.85,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 12.8, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.647641,-79.388328,Wellington Place,3,29,0.339,0.58,0.1,0.375,34.65,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 11.6, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.667232,-79.39971,University,3,44,0.551,0.88,0.467,0.375,56.49,Medium,#ffff00,"{'crime_contribution': 22.06, 'poi_contribution': 17.6, 'street_contribution': 9.33, 'degree_contribution': 7.5}"
43.656025,-79.364616,Regent Park,4,48,0.248,0.96,0.45,0.5,48.1,Medium,#ffff00,"{'crime_contribution': 9.9, 'poi_contribution': 19.2, 'street_contribution': 9.0, 'degree_contribution': 10.0}"
43.656315,-79.363435,Regent Park,2,36,0.248,0.72,0.2,0.25,33.3,Medium,#ffff00,"{'crime_contribution': 9.9, 'poi_contribution': 14.4, 'street_contribution': 4.0, 'degree_contribution': 5.0}"
43.658683,-79.356458,Regent Park,3,11,0.248,0.22,0.2,0.375,25.8,Low,#00ff00,"{'crime_contribution': 9.9, 'poi_contribution': 4.4, 'street_contribution': 4.0, 'degree_contribution': 7.5}"
43.657984,-79.356161,Regent Park,3,17,0.248,0.34,0.2,0.375,28.2,Low,#00ff00,"{'crime_contribution': 9.9, 'poi_contribution': 6.8, 'street_contribution': 4.0, 'degree_contribution': 7.5}"
